path,categories,uz,total_hits,ext
crowler.ipynb,{},нет признаков,0,ipynb
Untitled.ipynb,{},нет признаков,0,ipynb
pii_scanner_hackathon.ipynb,"{""платёжные"": 1, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,3,ipynb
dataset2/Sport24_Mediakit_2024.pdf,"{""обычные"": 6}",УЗ-3,6,pdf
dataset2/rules.pdf,"{""обычные"": 11, ""государственные"": 1, ""специальные"": 1}",УЗ-1,13,pdf
dataset2/agreement_reg_extra.pdf,"{""обычные"": 9}",УЗ-3,9,pdf
dataset2/google_terms_of_service_en.pdf,{},нет признаков,0,pdf
dataset2/%D0%92%D1%81%D0%B5%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B8%D1%81%D1%8C_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset2/ok_history_new.pdf,"{""обычные"": 5, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,7,pdf
dataset2/capsula_instruction.pdf,"{""обычные"": 5, ""биометрические"": 1}",УЗ-1,6,pdf
dataset2/google_privacy_policy_en.pdf,{},нет признаков,0,pdf
dataset2/version-300824.pdf,"{""обычные"": 12}",УЗ-3,12,pdf
dataset2/version-090924.pdf,"{""обычные"": 13, ""государственные"": 11, ""платёжные"": 2}",УЗ-2,26,pdf
dataset2/agreement_reg.pdf,"{""обычные"": 8}",УЗ-3,8,pdf
dataset2/capsula_neo_instruction.pdf,"{""обычные"": 7, ""биометрические"": 1}",УЗ-1,8,pdf
dataset2/politika_konfidencialnosti.pdf,"{""обычные"": 6, ""государственные"": 1}",УЗ-2,7,pdf
dataset2/VK_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,"{""обычные"": 6}",УЗ-3,6,pdf
dataset2/VKCT_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,"{""обычные"": 6}",УЗ-3,6,pdf
dataset1/rbc.pdf,"{""обычные"": 6, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,8,pdf
dataset1/1725542163_Медиакит РБК 360.pdf,{},нет признаков,0,pdf
dataset1/subscribe_rules.pdf,"{""обычные"": 3, ""биометрические"": 1}",УЗ-1,4,pdf
dataset1/FCC-12-9A1.pdf,"{""обычные"": 2}",УЗ-4,2,pdf
dataset1/20240306_fin_result_2023.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset1/pril1_14112652.pdf,"{""обычные"": 3}",УЗ-4,3,pdf
dataset1/neutrality-treaty.pdf,{},нет признаков,0,pdf
dataset1/1725542337_Медиакит РБК Телеканал.pdf,{},нет признаков,0,pdf
dataset1/Paulzovatelskoe_soglashenie_PAOSPB.pdf,"{""обычные"": 6}",УЗ-3,6,pdf
dataset1/HEAD%204q2024%20release%20050324.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset1/Privacy_policy_upd.pdf,"{""обычные"": 9, ""государственные"": 3}",УЗ-2,12,pdf
dataset1/1738660894_Приложения к договору субаренды (2).pdf,{},нет признаков,0,pdf
dataset1/Terms_of_service_upd.pdf,"{""обычные"": 9, ""государственные"": 2, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,13,pdf
dataset1/%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%20%D0%A0%D0%B5%D0%B4%D0%BA%D0%BE%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D1%8D%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D1%82%D1%8B.%20%D0%A1%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C.%2018-04-22.docx,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,docx
dataset1/ADV21-2024-Monthly-Canal-Operations-Summary-June-2024.pdf,{},нет признаков,0,pdf
dataset1/preprint-frn-2023-critical-materials-list.pdf,"{""обычные"": 1}",УЗ-4,1,pdf
